generation,chromosome,patient_waiting_time,total_time_in_system,resource_utilization_balance,staff_workload_equity
4,20>11>18>1>24>7>13>20>4>23>1>6>11>10>15>21>9>11>22>19>3>23>3>14,26.18331411854496,27.258582443378845,0.5833333333333334,0.0016864927293313006
4,10>22>4>2>20>6>7>16>20>5>9>22>11>3>6>10>23>7>1>15>5>8>24>14,26.31441890854858,27.596708440846633,0.5,0.002374568081457482
4,3>7>5>23>13>19>19>16>15>23>18>20>23>16>12>21>12>16>2>1>12>3>24>1,26.167848771557797,26.74200849605218,1.0,0.00048142585137811775
4,15>22>6>2>8>11>10>20>21>15>8>7>9>7>1>10>9>11>2>8>3>16>17>6,26.274225931332268,27.303861789275253,0.8333333333333334,0.0015357037949567441
4,9>13>18>1>4>17>2>10>21>18>4>22>17>9>17>17>13>11>16>23>12>19>21>20,25.48814865171075,26.966359997030505,0.9166666666666666,0.0033635390926157016
5,16>22>16>15>6>19>20>5>24>17>12>22>2>3>9>11>8>22>10>7>12>2>21>6,26.084188667873594,27.02553520373,0.5833333333333334,0.001302400012853041
5,3>16>19>15>4>19>12>20>3>4>17>4>12>2>18>21>21>22>22>11>10>19>24>24,25.68042578178493,27.25720823603165,0.9166666666666666,0.003769980615471491
5,19>22>24>15>17>7>1>5>21>12>9>18>6>7>21>10>5>11>15>19>21>14>18>6,26.359350789081557,27.26775684079489,0.75,0.0011876558659751773
5,12>17>1>20>9>9>2>20>4>7>19>13>23>7>17>24>12>14>15>19>21>14>24>14,25.77279140282577,26.79484054174431,0.8333333333333334,0.0015726085620895395
5,6>22>2>14>4>19>23>2>15>4>10>2>9>24>2>21>2>11>15>21>5>4>21>18,25.600754607548822,27.160488699037742,1.4166666666666667,0.003711894258803595
5,1>23>5>14>6>7>11>7>16>23>12>23>18>13>8>2>21>11>15>19>8>17>10>23,26.18535115992007,27.090196086731687,0.75,0.0011940747277392344
5,1>20>2>23>22>6>16>11>21>11>6>18>1>13>8>17>21>6>15>19>5>13>21>5,26.09720582888748,26.8443440685551,0.8333333333333334,0.000819622567756462
5,9>22>2>13>14>17>24>19>15>5>17>22>23>20>8>17>22>14>20>12>12>5>3>21,25.88074242156159,26.860682676308635,0.8333333333333334,0.0014336585718271611
5,16>16>9>7>22>1>12>16>3>15>23>4>3>24>8>3>23>20>18>13>21>14>20>22,26.028768250194418,26.958828771364242,0.75,0.0012767774000117852
5,8>16>23>3>9>7>21>10>21>15>17>22>22>9>21>11>1>9>16>2>12>8>17>1,25.975737803256862,26.925364317123407,0.9166666666666666,0.0013365028206194576
5,8>13>4>15>17>1>2>16>15>12>6>20>23>13>8>17>7>2>11>21>10>19>16>14,25.833293649918943,27.04396494839858,0.5,0.0021963064247384058
5,6>20>16>7>6>7>24>22>3>12>14>19>15>24>4>9>23>8>2>19>16>14>21>17,25.902317079463398,26.88111127103083,0.5,0.0014279254563262067
6,16>16>9>15>6>1>1>19>5>12>17>5>22>18>6>14>12>10>20>19>8>23>18>14,26.387959107747026,27.29769403964986,0.6666666666666666,0.001188551863259755
6,1>13>8>15>11>19>10>18>22>15>19>20>1>18>24>11>5>23>6>11>6>12>10>14,26.545599281456834,27.42058319949221,0.75,0.0010864633314088435
6,20>17>9>19>17>6>1>16>22>12>9>18>16>13>21>16>16>15>20>12>13>17>16>14,25.851171453760177,26.646153481272183,1.4166666666666667,0.0009457016893213854
6,1>19>8>16>13>6>20>15>4>12>23>18>8>18>11>10>13>9>13>22>8>19>21>14,26.152569101127472,27.227342573850134,0.6666666666666666,0.0016889047646890451
6,9>8>16>2>3>16>2>5>22>17>20>4>12>20>9>14>2>20>18>12>13>4>9>17,25.587106242952288,26.91213752375082,1.0833333333333333,0.0026816983032949136
6,15>22>16>6>8>24>18>19>24>5>10>17>1>13>20>11>7>17>5>22>3>21>14>12,26.241023463844016,27.28129833913061,0.3333333333333333,0.0015715734377349556
6,20>23>9>10>4>13>18>8>9>12>1>24>8>4>3>17>22>8>6>12>7>19>3>14,25.934471367588856,27.334318797731143,0.5833333333333334,0.0029134435558106106
6,8>17>8>2>5>1>6>24>6>6>4>19>23>20>17>17>9>18>21>1>13>4>3>21,25.615133964556602,26.977296210811616,0.8333333333333334,0.002827902392128897
6,12>22>16>15>20>20>6>22>23>6>1>15>10>20>16>3>5>18>1>19>8>12>15>6,26.34711628327136,27.089935970287794,1.0833333333333333,0.0007948782876952882
6,12>22>2>10>17>17>15>19>3>4>18>18>20>4>16>13>5>11>18>7>12>4>22>6,25.67156725874413,27.34213092183554,0.75,0.004234686795816731
6,20>3>6>1>17>4>23>1>22>12>9>4>9>20>21>7>7>9>5>15>8>4>22>18,25.613917603710302,27.05300894311851,0.8333333333333334,0.003156637437009184
6,12>23>4>9>6>13>11>2>23>5>17>15>1>3>24>13>2>17>16>1>18>13>7>23,25.72942739101835,26.826446093302874,0.75,0.0018178909224591249
6,3>13>4>16>17>23>7>19>15>6>2>20>6>15>16>2>24>17>16>17>13>19>6>13,25.636271341443077,26.719369467809777,1.25,0.0017849493204185462
6,22>10>5>16>11>1>7>22>3>12>19>4>19>4>11>9>24>9>5>22>6>21>18>14,26.082476925482933,27.4885278933527,0.6666666666666666,0.002906059243411451
6,12>17>4>2>22>14>20>18>22>4>17>18>1>4>17>17>16>1>22>4>8>23>21>24,25.043428757415512,26.58506298089555,1.4166666666666667,0.003789440634896808
7,16>20>16>9>21>7>23>18>2>15>15>12>11>15>20>21>5>12>21>19>15>7>21>8,26.16024185554801,26.662393689288837,1.3333333333333333,0.0003684568172561606
7,2>16>5>1>3>19>23>13>3>15>7>24>15>4>16>9>18>1>22>19>21>21>8>14,26.09869755695425,27.08184042367069,0.5,0.0014190431307927014
7,12>17>16>16>23>13>15>19>2>11>17>18>9>5>11>13>19>22>16>7>18>18>15>14,26.07481253927138,26.930820733734528,0.9166666666666666,0.0010777386419621494
7,14>9>24>14>22>17>5>23>16>11>9>2>18>8>22>24>18>9>21>1>21>12>23>14,26.080951620576382,26.81863427446016,0.9166666666666666,0.0008000042160890777
7,3>9>9>13>22>6>7>17>2>17>23>16>24>7>16>4>2>9>16>13>8>14>7>11,25.711300423556935,26.74287757604167,1.0,0.0016097385463746186
7,9>19>11>16>17>22>18>5>24>15>16>2>2>15>16>14>7>11>8>4>3>21>15>23,25.96753533501079,27.03937827226166,0.6666666666666666,0.0017037302663803551
7,20>20>12>16>23>19>1>17>3>4>17>19>2>2>22>4>2>14>22>13>15>7>8>19,25.50307480174858,26.757747421639312,0.8333333333333334,0.0024203365094897004
7,22>8>18>2>3>1>2>17>6>4>23>15>9>11>17>12>14>22>15>12>3>21>9>8,25.75462478115138,26.85243933096308,0.6666666666666666,0.0018169689705029425
7,3>16>4>16>21>22>1>13>23>7>17>15>8>4>19>4>19>11>6>19>13>4>23>18,25.4343458034412,26.98403952290245,1.0,0.003712364428138741
7,12>9>16>2>24>21>10>8>7>13>17>18>23>9>19>12>14>11>21>1>8>5>23>14,26.198176020064665,27.102304005266202,0.5,0.0011910163201867814
7,8>12>11>16>23>22>20>7>5>12>17>3>20>4>12>9>19>14>17>21>19>7>21>7,25.84081098212543,26.924698839672814,0.8333333333333334,0.0017593669256102593
7,12>6>11>14>4>14>17>16>2>4>8>19>22>5>20>13>23>1>18>15>8>3>4>14,25.69521809467638,27.188268137457037,0.5833333333333334,0.0033763239705572206
7,1>17>13>15>17>24>7>8>16>8>14>1>2>24>2>13>18>1>13>11>15>7>18>7,25.975933127702493,26.749901838351843,1.25,0.0008877782324887553
8,22>2>15>9>11>12>12>1>10>4>17>22>24>7>10>17>3>23>21>13>3>1>18>14,25.986661455714977,27.383828931036287,0.5,0.0028906529718774093
8,20>22>9>2>10>11>19>6>7>4>16>19>15>11>22>12>19>12>6>21>17>18>8>14,25.995525865148135,27.159234229778697,0.5833333333333334,0.002003969454481948
